variant,depth,X_dim,train_acc,train_auc,val_acc,val_auc,test_acc,test_auc
ll_sig,3,39,0.9686,0.9907423333333333,0.962,0.9856041666666666,0.971,0.9962125000000001
base_sig,3,14,0.9312,0.947328,0.929,0.9412208333333333,0.947,0.9494374999999999
ll_log,3,14,0.9142,0.9331978333333334,0.903,0.9303666666666668,0.932,0.9401250000000001
base_log,3,5,0.9042,0.9103935,0.898,0.9079041666666666,0.919,0.9223833333333333
