variant,depth,X_dim,train_acc,train_auc,val_acc,val_auc,test_acc,test_auc
ll_sig,3,39,0.9376875,0.9683567162500001,0.9446,0.9722254,0.9379,0.9717181599999999
base_sig,3,14,0.9354125,0.96359547,0.9427,0.96884444,0.9354,0.9688139600000001
ll_log,3,14,0.935625,0.9603538796874999,0.9423,0.96596618,0.9362,0.96652992
base_log,3,5,0.9351875,0.9591918365625001,0.9418,0.9650666,0.936,0.9653504800000001
